guest_id,guest_name,nationality,preferred_language,loyalty_level,is_returning_guest
G00601,Mert Weber,Turkish,Turkish,2,0
G00602,Mehmet Jones,Turkish,Turkish,2,0
G00603,Emma Brown,German,German,1,0
G00604,Lukas Martin,German,German,3,0
G00605,Mehmet Brown,Turkish,Turkish,3,0
G00606,Nikolai Brown,Russian,Russian,2,0
G00607,Zeynep Demir,Turkish,Turkish,3,0
G00608,Elif Kaya,Turkish,Turkish,5,0
G00609,Buse Müller,Turkish,Turkish,4,0
G00610,Anna Petrov,German,German,4,0
G00611,Emma Jones,British,English,3,0
G00612,Ahmet Şahin,Turkish,Turkish,2,0
G00613,Sophie Weber,German,German,1,0
G00614,Sophie Taylor,British,English,4,0
G00615,Ece Petrov,Turkish,Turkish,2,0
G00616,Zeynep Wilson,Turkish,Turkish,4,0
G00617,James Öztürk,British,English,2,0
G00618,Irina Yılmaz,Russian,Russian,4,0
G00619,Ece Müller,Turkish,Turkish,3,0
G00620,Olivia Brown,British,English,3,1
G00621,Emre Kaya,Turkish,Turkish,4,0
G00622,Elif Şahin,Turkish,Turkish,2,0
G00623,Can Öztürk,Turkish,Turkish,5,0
G00624,Jack Öztürk,British,English,2,0
G00625,Ayşe Demir,Turkish,Turkish,4,0
G00626,Sophie Martin,German,German,2,0
G00627,Camille Şahin,French,French,3,0
G00628,Ece Jones,Turkish,Turkish,3,0
G00629,Emre Müller,Turkish,Turkish,2,0
G00630,Emre Yılmaz,Turkish,Turkish,2,0
G00631,Harry Smirnov,British,English,3,0
G00632,Can Öztürk,Turkish,Turkish,1,0
G00633,Felix Wilson,German,German,4,0
G00634,Oliver Martin,British,English,3,0
G00635,Grace Schmidt,British,English,1,0
G00636,Can Yılmaz,Turkish,Turkish,3,0
G00637,Lukas Jones,German,German,2,0
G00638,Olivia Smirnov,British,English,4,0
G00639,Paul Smirnov,German,German,4,0
G00640,Sophie Martin,British,English,4,0
G00641,Elif Ivanov,Turkish,Turkish,2,0
G00642,Olivia Jones,British,English,3,0
G00643,Can Weber,Turkish,Turkish,3,0
G00644,Ece Smith,Turkish,Turkish,5,0
G00645,Can Şahin,Turkish,Turkish,3,1
G00646,Can Dubois,Turkish,Turkish,5,0
G00647,Mehmet Müller,Turkish,Turkish,3,0
G00648,Sofia Smirnov,Russian,Russian,3,0
G00649,Jack Wilson,British,English,2,0
G00650,Buse Dubois,Turkish,Turkish,3,0
G00651,Buse Martin,Turkish,Turkish,5,0
G00652,Zeynep Müller,Turkish,Turkish,3,0
G00653,Emily Martin,British,English,4,0
G00654,Elif Şahin,Turkish,Turkish,4,0
G00655,Mia Taylor,German,German,3,0
G00656,Paul Schmidt,German,German,4,0
G00657,Elif Brown,Turkish,Turkish,2,0
G00658,George Öztürk,British,English,3,0
G00659,Mert Jones,Turkish,Turkish,2,0
G00660,Zeynep Şahin,Turkish,Turkish,4,0
G00661,Ahmet Demir,Turkish,Turkish,4,0
G00662,James Kaya,British,English,2,0
G00663,Ahmet Martin,Turkish,Turkish,3,0
G00664,Gabriel Wilson,French,French,1,0
G00665,Ahmet Demir,Turkish,Turkish,3,0
G00666,Emma Müller,German,German,2,0
G00667,Emma Ivanov,British,English,3,0
G00668,Lukas Öztürk,German,German,3,0
G00669,Ece Dubois,Turkish,Turkish,3,0
G00670,Oliver Schmidt,British,English,3,1
G00671,Ahmet Schmidt,Turkish,Turkish,2,0
G00672,Can Smith,Turkish,Turkish,3,0
G00673,Buse Weber,Turkish,Turkish,3,0
G00674,Paul Ivanov,German,German,4,0
G00675,James Yılmaz,British,English,1,0
G00676,Emma Martin,British,English,4,0
G00677,Ece Jones,Turkish,Turkish,2,1
G00678,Zeynep Müller,Turkish,Turkish,2,1
G00679,Lukas Petrov,German,German,3,0
G00680,Mehmet Smith,Turkish,Turkish,3,0
G00681,Ayşe Taylor,Turkish,Turkish,2,0
G00682,Lukas Wilson,German,German,3,0
G00683,Anna Şahin,German,German,1,0
G00684,Emily Şahin,British,English,2,1
G00685,Grace Demir,British,English,1,1
G00686,Elif Müller,Turkish,Turkish,3,0
G00687,Emily Şahin,British,English,4,1
G00688,Harry Jones,British,English,2,0
G00689,Buse Yılmaz,Turkish,Turkish,3,0
G00690,Mert Yılmaz,Turkish,Turkish,3,0
G00691,George Brown,British,English,1,0
G00692,Manon Taylor,French,French,3,0
G00693,Can Martin,Turkish,Turkish,4,1
G00694,James Dubois,British,English,1,0
G00695,Ahmet Yılmaz,Turkish,Turkish,3,0
G00696,Emma Martin,German,German,2,0
G00697,Oliver Şahin,British,English,4,0
G00698,Mehmet Öztürk,Turkish,Turkish,1,0
G00699,Mert Wilson,Turkish,Turkish,3,1
G00700,Jack Öztürk,British,English,2,0
G00701,Mehmet Müller,Turkish,Turkish,4,0
G00702,Buse Yılmaz,Turkish,Turkish,5,0
G00703,Emma Dubois,German,German,1,0
G00704,Zeynep Yılmaz,Turkish,Turkish,3,0
G00705,Emre Öztürk,Turkish,Turkish,3,1
G00706,Laura Martin,German,German,1,0
G00707,Emily Yılmaz,British,English,1,0
G00708,Emre Weber,Turkish,Turkish,3,0
G00709,Leon Kaya,German,German,4,0
G00710,Emre Martin,Turkish,Turkish,2,0
G00711,Grace Kaya,British,English,3,0
G00712,Zeynep Weber,Turkish,Turkish,5,0
G00713,Zeynep Martin,Turkish,Turkish,3,0
G00714,Oliver Brown,British,English,3,0
G00715,Alexei Schmidt,Russian,Russian,3,0
G00716,Ayşe Yılmaz,Turkish,Turkish,3,0
G00717,Emily Demir,British,English,4,0
G00718,Mert Yılmaz,Turkish,Turkish,3,0
G00719,Harry Yılmaz,British,English,2,0
G00720,Grace Kaya,British,English,5,0
G00721,Can Jones,Turkish,Turkish,2,0
G00722,Mehmet Schmidt,Turkish,Turkish,2,0
G00723,James Taylor,British,English,4,0
G00724,Can Petrov,Turkish,Turkish,2,0
G00725,James Ivanov,British,English,3,0
G00726,Can Öztürk,Turkish,Turkish,3,0
G00727,Emma Petrov,British,English,3,0
G00728,Ahmet Martin,Turkish,Turkish,3,0
G00729,Emily Ivanov,British,English,2,0
G00730,Buse Ivanov,Turkish,Turkish,3,0
G00731,Emma Smith,French,French,3,1
G00732,Oliver Taylor,British,English,3,0
G00733,Sophie Öztürk,British,English,5,0
G00734,Anna Öztürk,German,German,2,0
G00735,Emily Smirnov,British,English,4,0
G00736,Olivia Schmidt,British,English,3,1
G00737,Emma Yılmaz,German,German,5,0
G00738,Nikolai Demir,Russian,Russian,3,0
G00739,Emma Öztürk,British,English,2,0
G00740,Paul Demir,German,German,3,0
G00741,Elif Schmidt,Turkish,Turkish,1,0
G00742,Elena Smirnov,Russian,Russian,4,0
G00743,Emre Dubois,Turkish,Turkish,3,0
G00744,Olivia Petrov,British,English,4,0
G00745,Laura Schmidt,German,German,2,0
G00746,Ahmet Müller,Turkish,Turkish,1,0
G00747,Olivia Demir,British,English,2,0
G00748,Ayşe Smith,Turkish,Turkish,5,0
G00749,Buse Taylor,Turkish,Turkish,2,0
G00750,Sophie Smirnov,British,English,1,0
G00751,Emre Jones,Turkish,Turkish,4,1
G00752,Oliver Dubois,British,English,4,0
G00753,Elif Brown,Turkish,Turkish,3,0
G00754,Mehmet Müller,Turkish,Turkish,3,0
G00755,Olivia Brown,British,English,3,0
G00756,Leon Öztürk,German,German,3,0
G00757,Ahmet Smirnov,Turkish,Turkish,3,0
G00758,Ahmet Dubois,Turkish,Turkish,4,0
G00759,Felix Şahin,German,German,1,0
G00760,Lucas Jones,French,French,4,1
G00761,Buse Schmidt,Turkish,Turkish,4,0
G00762,Emre Öztürk,Turkish,Turkish,4,0
G00763,Irina Yılmaz,Russian,Russian,2,0
G00764,Elif Dubois,Turkish,Turkish,5,0
G00765,Laura Petrov,German,German,3,1
G00766,Harry Weber,British,English,4,0
G00767,Ece Öztürk,Turkish,Turkish,4,0
G00768,Elif Yılmaz,Turkish,Turkish,4,0
G00769,Grace Weber,British,English,2,0
G00770,Lukas Wilson,German,German,1,0
G00771,Lucas Taylor,French,French,3,0
G00772,Jack Şahin,British,English,3,0
G00773,Mert Kaya,Turkish,Turkish,2,0
G00774,Buse Brown,Turkish,Turkish,4,0
G00775,Zeynep Smirnov,Turkish,Turkish,2,0
G00776,Buse Brown,Turkish,Turkish,5,0
G00777,Buse Wilson,Turkish,Turkish,5,0
G00778,Jack Smith,British,English,3,0
G00779,George Martin,British,English,3,0
G00780,Can Öztürk,Turkish,Turkish,3,0
G00781,Jack Petrov,British,English,4,0
G00782,Harry Şahin,British,English,3,1
G00783,James Schmidt,British,English,4,0
G00784,Paul Şahin,German,German,1,0
G00785,Emily Şahin,British,English,2,0
G00786,Emily Şahin,British,English,2,0
G00787,Oliver Demir,British,English,3,0
G00788,Emma Yılmaz,French,French,5,1
G00789,Emre Smith,Turkish,Turkish,2,0
G00790,Ahmet Ivanov,Turkish,Turkish,2,0
G00791,George Dubois,British,English,3,0
G00792,Ayşe Demir,Turkish,Turkish,4,0
G00793,Ahmet Taylor,Turkish,Turkish,1,0
G00794,Grace Weber,British,English,2,0
G00795,Mehmet Kaya,Turkish,Turkish,1,0
G00796,Buse Şahin,Turkish,Turkish,3,0
G00797,Mehmet Martin,Turkish,Turkish,3,0
G00798,Leon Dubois,German,German,3,0
G00799,George Şahin,British,English,4,0
G00800,George Ivanov,British,English,3,0
G00801,Oliver Dubois,British,English,2,0
G00802,Sophie Demir,British,English,5,0
G00803,Emma Taylor,British,English,3,1
G00804,Jack Jones,British,English,1,0
G00805,Ayşe Schmidt,Turkish,Turkish,3,0
G00806,Ahmet Weber,Turkish,Turkish,5,1
G00807,Jack Dubois,British,English,2,0
G00808,Sophie Ivanov,German,German,3,0
G00809,Can Martin,Turkish,Turkish,3,0
G00810,Ece Petrov,Turkish,Turkish,1,0
G00811,Lucas Jones,French,French,2,0
G00812,Zeynep Jones,Turkish,Turkish,4,0
G00813,Emre Smirnov,Turkish,Turkish,3,0
G00814,Felix Kaya,German,German,4,0
G00815,Felix Smirnov,German,German,2,0
G00816,Ayşe Martin,Turkish,Turkish,5,0
G00817,Oliver Dubois,British,English,5,0
G00818,Mehmet Martin,Turkish,Turkish,3,0
G00819,Emily Smirnov,British,English,1,0
G00820,Emre Wilson,Turkish,Turkish,4,0
G00821,Buse Brown,Turkish,Turkish,3,0
G00822,Ayşe Smith,Turkish,Turkish,2,1
G00823,Zeynep Wilson,Turkish,Turkish,3,0
G00824,Manon Brown,French,French,2,0
G00825,Ahmet Schmidt,Turkish,Turkish,3,0
G00826,Mehmet Jones,Turkish,Turkish,2,1
G00827,Emily Petrov,British,English,4,0
G00828,Ece Demir,Turkish,Turkish,3,0
G00829,Louis Smirnov,French,French,5,0
G00830,Mia Petrov,German,German,3,0
G00831,Alice Dubois,French,French,3,0
G00832,Elif Weber,Turkish,Turkish,2,0
G00833,Emma Weber,British,English,1,0
G00834,Irina Jones,Russian,Russian,1,0
G00835,Emre Yılmaz,Turkish,Turkish,3,0
G00836,Grace Dubois,British,English,2,0
G00837,Olivia Müller,British,English,5,0
G00838,Sofia Jones,Russian,Russian,3,0
G00839,Olivia Taylor,British,English,3,1
G00840,Buse Müller,Turkish,Turkish,5,0
G00841,Laura Müller,German,German,3,0
G00842,James Martin,British,English,4,0
G00843,Oliver Öztürk,British,English,5,1
G00844,Emily Jones,British,English,3,0
G00845,Ayşe Schmidt,Turkish,Turkish,3,0
G00846,Zeynep Şahin,Turkish,Turkish,2,0
G00847,Mehmet Jones,Turkish,Turkish,4,0
G00848,Sophie Smirnov,British,English,2,0
G00849,Emily Yılmaz,British,English,3,0
G00850,Emily Martin,British,English,3,0
G00851,Emily Demir,British,English,2,0
G00852,Ivan Smirnov,Russian,Russian,2,0
G00853,Elif Smith,Turkish,Turkish,3,0
G00854,Mehmet Dubois,Turkish,Turkish,3,0
G00855,James Schmidt,British,English,4,0
G00856,Sophie Smith,German,German,3,0
G00857,Olivia Yılmaz,British,English,3,0
G00858,Gabriel Smith,French,French,4,0
G00859,Buse Smirnov,Turkish,Turkish,3,0
G00860,Sophie Weber,British,English,3,0
G00861,Mert Ivanov,Turkish,Turkish,1,0
G00862,Irina Weber,Russian,Russian,2,0
G00863,Ece Müller,Turkish,Turkish,3,0
G00864,George Jones,British,English,5,1
G00865,Can Taylor,Turkish,Turkish,2,0
G00866,Harry Smith,British,English,4,0
G00867,Zeynep Demir,Turkish,Turkish,2,0
G00868,Ece Yılmaz,Turkish,Turkish,5,0
G00869,Sophie Smith,British,English,5,0
G00870,Zeynep Weber,Turkish,Turkish,1,0
G00871,Can Petrov,Turkish,Turkish,1,0
G00872,Ahmet Ivanov,Turkish,Turkish,4,1
G00873,James Wilson,British,English,2,0
G00874,Jack Dubois,British,English,3,0
G00875,Grace Öztürk,British,English,4,0
G00876,Oliver Kaya,British,English,3,0
G00877,Emre Dubois,Turkish,Turkish,2,0
G00878,Sophie Kaya,British,English,2,0
G00879,Jack Weber,British,English,3,0
G00880,Gabriel Martin,French,French,3,0
G00881,Sophie Kaya,British,English,3,0
G00882,Emre Öztürk,Turkish,Turkish,5,0
G00883,Buse Petrov,Turkish,Turkish,1,0
G00884,Harry Weber,British,English,5,0
G00885,Zeynep Yılmaz,Turkish,Turkish,3,0
G00886,Felix Taylor,German,German,4,1
G00887,Can Müller,Turkish,Turkish,2,0
G00888,Can Wilson,Turkish,Turkish,4,0
G00889,Lea Weber,French,French,2,0
G00890,Harry Dubois,British,English,3,0
G00891,Can Wilson,Turkish,Turkish,1,0
G00892,Emily Müller,British,English,2,0
G00893,Olga Smith,Russian,Russian,4,0
G00894,Sophie Yılmaz,British,English,5,1
G00895,Zeynep Taylor,Turkish,Turkish,2,0
G00896,Emma Martin,German,German,2,0
G00897,Camille Smirnov,French,French,2,0
G00898,Mehmet Taylor,Turkish,Turkish,3,0
G00899,Buse Demir,Turkish,Turkish,4,0
G00900,Lukas Yılmaz,German,German,5,1
G00901,Ahmet Martin,Turkish,Turkish,1,0
G00902,Mia Martin,German,German,5,0
G00903,Mert Smith,Turkish,Turkish,2,0
G00904,Mehmet Martin,Turkish,Turkish,2,0
G00905,Harry Weber,British,English,1,0
G00906,Anna Smirnov,Russian,Russian,1,0
G00907,Anna Şahin,German,German,3,0
G00908,Grace Ivanov,British,English,4,0
G00909,Zeynep Schmidt,Turkish,Turkish,4,0
G00910,Sophie Brown,British,English,1,1
G00911,Sophie Taylor,British,English,3,0
G00912,Elena Kaya,Russian,Russian,5,0
G00913,Mert Dubois,Turkish,Turkish,2,1
G00914,Mehmet Smirnov,Turkish,Turkish,4,0
G00915,Ayşe Ivanov,Turkish,Turkish,1,0
G00916,George Martin,British,English,3,0
G00917,Paul Şahin,German,German,4,0
G00918,Mert Smith,Turkish,Turkish,5,0
G00919,Jack Jones,British,English,5,0
G00920,Emre Demir,Turkish,Turkish,3,1
G00921,Jack Smith,British,English,3,1
G00922,Camille Yılmaz,French,French,3,0
G00923,Mehmet Schmidt,Turkish,Turkish,4,0
G00924,Zeynep Wilson,Turkish,Turkish,5,0
G00925,Olivia Ivanov,British,English,2,1
G00926,Emma Martin,British,English,3,0
G00927,Max Jones,German,German,1,0
G00928,Harry Weber,British,English,3,0
G00929,Ayşe Weber,Turkish,Turkish,2,0
G00930,Sophie Martin,British,English,4,0
G00931,Felix Schmidt,German,German,4,0
G00932,Elif Martin,Turkish,Turkish,3,0
G00933,Jack Smith,British,English,3,0
G00934,Max Öztürk,German,German,2,0
G00935,Max Kaya,German,German,2,0
G00936,Can Dubois,Turkish,Turkish,1,0
G00937,Nikolai Wilson,Russian,Russian,4,0
G00938,Emre Schmidt,Turkish,Turkish,4,0
G00939,Grace Kaya,British,English,2,0
G00940,Olivia Dubois,British,English,3,0
G00941,Laura Yılmaz,German,German,1,0
G00942,Elif Dubois,Turkish,Turkish,2,0
G00943,Emma Schmidt,British,English,1,0
G00944,Dmitri Taylor,Russian,Russian,3,0
G00945,Buse Kaya,Turkish,Turkish,1,0
G00946,Leon Smith,German,German,2,0
G00947,Anna Yılmaz,German,German,3,0
G00948,Can Jones,Turkish,Turkish,5,0
G00949,Mert Şahin,Turkish,Turkish,2,1
G00950,Manon Weber,French,French,3,0
G00951,George Taylor,British,English,2,0
G00952,George Smirnov,British,English,4,0
G00953,Buse Wilson,Turkish,Turkish,3,0
G00954,Emily Wilson,British,English,3,0
G00955,Irina Weber,Russian,Russian,3,0
G00956,Can Brown,Turkish,Turkish,3,0
G00957,Ahmet Wilson,Turkish,Turkish,1,0
G00958,Max Jones,German,German,3,0
G00959,Ahmet Yılmaz,Turkish,Turkish,2,0
G00960,Oliver Öztürk,British,English,3,0
G00961,Mert Smith,Turkish,Turkish,4,0
G00962,Emma Petrov,German,German,3,0
G00963,Can Öztürk,Turkish,Turkish,2,0
G00964,Dmitri Yılmaz,Russian,Russian,5,0
G00965,Buse Demir,Turkish,Turkish,2,0
G00966,Laura Dubois,German,German,3,0
G00967,Olivia Yılmaz,British,English,3,0
G00968,Sophie Wilson,British,English,2,0
G00969,Olivia Martin,British,English,4,0
G00970,Oliver Jones,British,English,3,0
G00971,Emma Wilson,British,English,2,0
G00972,Buse Jones,Turkish,Turkish,5,0
G00973,Jack Brown,British,English,4,0
G00974,Ayşe Müller,Turkish,Turkish,3,1
G00975,Gabriel Wilson,French,French,4,0
G00976,Can Martin,Turkish,Turkish,2,0
G00977,Ece Öztürk,Turkish,Turkish,5,0
G00978,Emma Smith,British,English,1,0
G00979,Ece Kaya,Turkish,Turkish,2,0
G00980,Emily Weber,British,English,4,0
G00981,Zeynep Wilson,Turkish,Turkish,2,0
G00982,Hugo Yılmaz,French,French,3,0
G00983,Manon Schmidt,French,French,3,0
G00984,Emily Kaya,British,English,1,0
G00985,Paul Kaya,German,German,4,0
G00986,Alexei Müller,Russian,Russian,4,0
G00987,Harry Weber,British,English,3,0
G00988,Mehmet Ivanov,Turkish,Turkish,2,0
G00989,Elif Şahin,Turkish,Turkish,4,0
G00990,Ece Yılmaz,Turkish,Turkish,4,0
G00991,Olivia Taylor,British,English,3,0
G00992,Lukas Müller,German,German,2,0
G00993,Grace Smith,British,English,3,0
G00994,Zeynep Martin,Turkish,Turkish,2,0
G00995,Elif Yılmaz,Turkish,Turkish,2,0
G00996,Oliver Petrov,British,English,3,0
G00997,Dmitri Yılmaz,Russian,Russian,4,0
G00998,Olivia Jones,British,English,2,0
G00999,Emma Brown,German,German,4,0
G01000,Ayşe Müller,Turkish,Turkish,2,0
G01001,Lukas Smith,German,German,1,0
G01002,Harry Şahin,British,English,3,1
G01003,George Şahin,British,English,3,1
G01004,Max Petrov,German,German,2,0
G01005,Grace Öztürk,British,English,1,0
G01006,Buse Smirnov,Turkish,Turkish,3,0
G01007,Alice Brown,French,French,3,0
G01008,Jack Wilson,British,English,2,0
G01009,Felix Brown,German,German,2,0
G01010,Zeynep Ivanov,Turkish,Turkish,1,0
G01011,Ahmet Taylor,Turkish,Turkish,5,0
G01012,James Brown,British,English,1,0
G01013,Mehmet Martin,Turkish,Turkish,3,0
G01014,Dmitri Smith,Russian,Russian,4,0
G01015,Jack Martin,British,English,4,0
G01016,Sophie Öztürk,German,German,2,0
G01017,Louis Weber,French,French,1,0
G01018,James Brown,British,English,3,0
G01019,Maria Şahin,Russian,Russian,2,0
G01020,Emily Schmidt,British,English,3,0
G01021,Ece Taylor,Turkish,Turkish,3,0
G01022,Emre Yılmaz,Turkish,Turkish,1,0
G01023,Emre Şahin,Turkish,Turkish,3,0
G01024,Harry Petrov,British,English,4,0
G01025,Mehmet Ivanov,Turkish,Turkish,1,0
G01026,Jack Schmidt,British,English,5,0
G01027,Can Ivanov,Turkish,Turkish,3,0
G01028,Mehmet Öztürk,Turkish,Turkish,2,0
G01029,Zeynep Weber,Turkish,Turkish,4,0
G01030,Sophie Schmidt,British,English,1,0
G01031,Emily Yılmaz,British,English,3,0
G01032,Mehmet Brown,Turkish,Turkish,4,0
G01033,Harry Martin,British,English,1,0
G01034,Ahmet Demir,Turkish,Turkish,3,0
G01035,Sophie Brown,British,English,3,0
G01036,George Öztürk,British,English,3,0
G01037,Olivia Müller,British,English,4,0
G01038,Ece Martin,Turkish,Turkish,4,0
G01039,Anna Şahin,German,German,3,0
G01040,Laura Jones,German,German,2,0
G01041,Ahmet Ivanov,Turkish,Turkish,2,1
G01042,Buse Taylor,Turkish,Turkish,3,1
G01043,Emily Öztürk,British,English,2,0
G01044,Emre Şahin,Turkish,Turkish,5,1
G01045,Ayşe Petrov,Turkish,Turkish,3,0
G01046,Lea Schmidt,French,French,3,0
G01047,Louis Petrov,French,French,3,0
G01048,Emma Ivanov,British,English,5,0
G01049,Buse Ivanov,Turkish,Turkish,3,0
G01050,Oliver Öztürk,British,English,4,0
G01051,Ahmet Smith,Turkish,Turkish,2,0
G01052,Emre Öztürk,Turkish,Turkish,2,0
G01053,Olivia Brown,British,English,5,0
G01054,Manon Kaya,French,French,2,0
G01055,Felix Dubois,German,German,2,0
G01056,James Ivanov,British,English,3,0
G01057,Emma Şahin,British,English,2,0
G01058,Mehmet Öztürk,Turkish,Turkish,4,0
G01059,Elif Ivanov,Turkish,Turkish,3,0
G01060,Ivan Weber,Russian,Russian,3,0
G01061,Lukas Petrov,German,German,3,0
G01062,Felix Ivanov,German,German,3,0
G01063,Mehmet Wilson,Turkish,Turkish,4,0
G01064,Mia Dubois,German,German,4,0
G01065,Felix Weber,German,German,3,0
G01066,Sophie Brown,British,English,3,0
G01067,Ahmet Smith,Turkish,Turkish,2,0
G01068,Olivia Müller,British,English,3,0
G01069,Elif Smith,Turkish,Turkish,3,0
G01070,Ece Öztürk,Turkish,Turkish,1,0
G01071,Emma Müller,British,English,3,0
G01072,Emre Ivanov,Turkish,Turkish,3,0
G01073,Mehmet Wilson,Turkish,Turkish,3,0
G01074,Olivia Smith,British,English,3,0
G01075,Zeynep Wilson,Turkish,Turkish,2,0
G01076,Leon Şahin,German,German,2,0
G01077,Emily Martin,British,English,5,0
G01078,Emma Smith,German,German,3,0
G01079,Max Müller,German,German,3,0
G01080,Elif Wilson,Turkish,Turkish,5,0
G01081,Elif Öztürk,Turkish,Turkish,2,0
G01082,Grace Müller,British,English,2,0
G01083,Mert Kaya,Turkish,Turkish,3,0
G01084,Ayşe Ivanov,Turkish,Turkish,3,0
G01085,Laura Öztürk,German,German,5,0
G01086,Elena Petrov,Russian,Russian,3,0
G01087,Sophie Şahin,German,German,1,0
G01088,Camille Weber,French,French,2,0
G01089,Ece Martin,Turkish,Turkish,3,0
G01090,Emma Schmidt,French,French,2,0
G01091,Mehmet Smirnov,Turkish,Turkish,4,0
G01092,George Brown,British,English,2,0
G01093,Paul Demir,German,German,4,0
G01094,Ahmet Kaya,Turkish,Turkish,2,0
G01095,Irina Weber,Russian,Russian,4,0
G01096,Buse Smirnov,Turkish,Turkish,3,1
G01097,Mert Wilson,Turkish,Turkish,1,0
G01098,Ahmet Demir,Turkish,Turkish,2,1
G01099,Olivia Martin,British,English,4,0
G01100,Emma Kaya,French,French,3,0
G01101,Emre Taylor,Turkish,Turkish,5,0
G01102,Sophie Weber,German,German,4,0
G01103,Emma Taylor,French,French,3,0
G01104,Harry Taylor,British,English,2,0
G01105,Felix Şahin,German,German,2,0
G01106,Zeynep Brown,Turkish,Turkish,3,0
G01107,Mehmet Kaya,Turkish,Turkish,3,0
G01108,Zeynep Schmidt,Turkish,Turkish,4,0
G01109,Ayşe Smith,Turkish,Turkish,4,0
G01110,Emre Yılmaz,Turkish,Turkish,4,0
G01111,Ahmet Şahin,Turkish,Turkish,2,0
G01112,Olivia Ivanov,British,English,4,0
G01113,Harry Wilson,British,English,3,0
G01114,Chloe Petrov,French,French,3,0
G01115,Mehmet Martin,Turkish,Turkish,4,0
G01116,Grace Öztürk,British,English,4,0
G01117,Mert Dubois,Turkish,Turkish,5,0
G01118,Felix Kaya,German,German,3,0
G01119,Mert Demir,Turkish,Turkish,3,0
G01120,Ece Ivanov,Turkish,Turkish,2,0
G01121,Emre Weber,Turkish,Turkish,3,0
G01122,Lukas Ivanov,German,German,3,0
G01123,Mehmet Yılmaz,Turkish,Turkish,3,1
G01124,Ivan Öztürk,Russian,Russian,5,0
G01125,Ahmet Martin,Turkish,Turkish,3,0
G01126,James Jones,British,English,2,0
G01127,Emre Müller,Turkish,Turkish,5,0
G01128,Paul Schmidt,German,German,5,0
G01129,James Müller,British,English,3,0
G01130,Ece Dubois,Turkish,Turkish,2,0
G01131,Ahmet Jones,Turkish,Turkish,5,0
G01132,Jack Jones,British,English,4,0
G01133,James Martin,British,English,3,1
G01134,Buse Ivanov,Turkish,Turkish,3,0
G01135,Zeynep Öztürk,Turkish,Turkish,1,0
G01136,Emily Petrov,British,English,4,0
G01137,Harry Ivanov,British,English,2,0
G01138,Mert Müller,Turkish,Turkish,2,0
G01139,Ayşe Wilson,Turkish,Turkish,2,0
G01140,Emma Wilson,German,German,3,0
G01141,Ayşe Kaya,Turkish,Turkish,3,0
G01142,Ece Demir,Turkish,Turkish,3,0
G01143,Nikolai Weber,Russian,Russian,4,0
G01144,Can Smirnov,Turkish,Turkish,3,0
G01145,Olivia Smith,British,English,2,0
G01146,Olivia Demir,British,English,3,0
G01147,Emily Schmidt,British,English,2,0
G01148,Ayşe Jones,Turkish,Turkish,3,0
G01149,Buse Wilson,Turkish,Turkish,3,0
G01150,Emre Taylor,Turkish,Turkish,2,0
G01151,Emma Martin,British,English,2,0
G01152,Emma Müller,British,English,4,0
G01153,Oliver Müller,British,English,4,0
G01154,Grace Taylor,British,English,1,0
G01155,Manon Ivanov,French,French,1,0
G01156,Lea Taylor,French,French,2,1
G01157,Gabriel Kaya,French,French,2,0
G01158,Ahmet Martin,Turkish,Turkish,3,0
G01159,Ayşe Jones,Turkish,Turkish,4,0
G01160,Sophie Smirnov,British,English,2,0
G01161,Laura Ivanov,German,German,3,0
G01162,James Smirnov,British,English,4,0
G01163,Can Weber,Turkish,Turkish,2,0
G01164,Irina Öztürk,Russian,Russian,3,0
G01165,Anna Brown,German,German,3,0
G01166,Can Martin,Turkish,Turkish,2,0
G01167,Emma Dubois,French,French,4,0
G01168,Max Demir,German,German,2,0
G01169,Hugo Müller,French,French,5,0
G01170,Jack Petrov,British,English,3,0
G01171,Emre Martin,Turkish,Turkish,2,0
G01172,Mehmet Wilson,Turkish,Turkish,4,0
G01173,Harry Demir,British,English,4,0
G01174,Ahmet Smith,Turkish,Turkish,5,0
G01175,Grace Petrov,British,English,2,0
G01176,Emma Jones,British,English,1,0
G01177,Emily Schmidt,British,English,5,0
G01178,Emma Weber,British,English,2,0
G01179,Sophie Kaya,British,English,3,0
G01180,Sophie Smith,German,German,3,0
G01181,Emma Öztürk,German,German,4,1
G01182,Harry Brown,British,English,1,0
G01183,Felix Demir,German,German,3,1
G01184,Sophie Dubois,British,English,4,0
G01185,Sophie Öztürk,British,English,5,0
G01186,Elif Martin,Turkish,Turkish,3,0
G01187,Anna Taylor,German,German,3,0
G01188,Paul Smirnov,German,German,2,0
G01189,Buse Petrov,Turkish,Turkish,4,0
G01190,Emma Müller,British,English,2,0
G01191,Can Wilson,Turkish,Turkish,3,0
G01192,Olga Öztürk,Russian,Russian,5,0
G01193,Chloe Dubois,French,French,3,0
G01194,Ece Yılmaz,Turkish,Turkish,4,0
G01195,Buse Müller,Turkish,Turkish,3,0
G01196,Mehmet Jones,Turkish,Turkish,4,0
G01197,Jack Petrov,British,English,3,0
G01198,Mert Yılmaz,Turkish,Turkish,5,0
G01199,Grace Weber,British,English,1,0
G01200,Anna Weber,Russian,Russian,2,0
G01201,Emre Taylor,Turkish,Turkish,3,1
G01202,Buse Müller,Turkish,Turkish,2,0
G01203,Mert Smith,Turkish,Turkish,3,0
G01204,Ayşe Taylor,Turkish,Turkish,4,0
